Employee title,Employee code,2012,2022,Number,Percent,"Percent self employed, 2012","Job openings due to growth and replacement needs, 2012-22","Median annual wage, 2012 (1)",Education,Occupation,Training
Legal occupations,23-0000,1247,1379.9,132.9,10.7,15.8,333.8,"$75,270",— ,— ,— 
"Lawyers, judges, and related workers",23-1000,823.6,900.2,76.6,9.3,20.4,208.8,"$110,740",— ,— ,— 
Lawyers and judicial law clerks,23-1010,772,847.3,75.4,9.8,21.5,199,"$112,120",— ,— ,— 
Lawyers,23-1011,759.8,834.7,74.8,9.8,21.8,196.5,"$113,530",Doctoral or professional degree,None,None
Judicial law clerks,23-1012,12.1,12.7,0.5,4.3,4.2,2.5,"$47,120",Doctoral or professional degree,None,None
"Judges, magistrates, and other judicial workers",23-1020,51.6,52.9,1.3,2.5,2.7,9.8,"$95,360",— ,— ,— 
"Administrative law judges, adjudicators, and hearing officers",23-1021,14.9,14.7,-0.3,-1.7,— ,2.4,"$87,240",Doctoral or professional degree,Less than 5 years,Short-term on-the-job training
"Arbitrators, mediators, and conciliators",23-1022,8.4,9.3,0.9,10.4,16.7,2.2,"$61,280",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,28.3,29,0.7,2.3,— ,5.2,"$115,760",Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,23-2000,423.4,479.7,56.3,13.3,7,125.1,"$46,850",— ,— ,— 
Paralegals and legal assistants,23-2011,277,323.3,46.2,16.7,1.9,91.2,"$46,990",Associate's degree,None,None
Miscellaneous legal support workers,23-2090,146.3,156.4,10.1,6.9,16.7,33.8,"$46,560",— ,— ,— 
Court reporters,23-2091,21.2,23.2,2,9.6,9.6,5.5,"$48,160",Postsecondary non-degree award,None,Short-term on-the-job training
"Title examiners, abstractors, and searchers",23-2093,67.9,74.1,6.2,9.2,23.8,17.3,"$41,970",High school diploma or equivalent,None,Short-term on-the-job training
"Legal support workers, all other",23-2099,57.3,59,1.8,3.1,10.9,11.1,"$52,660",High school diploma or equivalent,None,Short-term on-the-job training
"Education, training, and library occupations",25-0000,9115.9,10131.7,1015.8,11.1,2,2896.9,"$46,020",— ,— ,— 
Postsecondary teachers,25-1000,1830.9,2134.5,303.5,16.6,0.1,578.7,"$62,390",— ,— ,— 
"Business teachers, postsecondary",25-1011,103.4,118.5,15.2,14.7,0.1,30.7,"$73,660",Doctoral or professional degree,None,None
"Math and computer teachers, postsecondary",25-1020,105.1,117.6,12.6,12,0.1,28.4,"$67,740",— ,— ,— 
"Computer science teachers, postsecondary",25-1021,41.7,47,5.3,12.7,— ,11.6,"$72,200",Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",25-1022,63.3,70.6,7.3,11.5,— ,16.8,"$64,990",Doctoral or professional degree,None,None
"Engineering and architecture teachers, postsecondary",25-1030,51.7,58,6.3,12.2,— ,14.1,"$88,800",— ,— ,— 
"Architecture teachers, postsecondary",25-1031,9.1,10.4,1.3,14.3,— ,2.7,"$71,610",Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",25-1032,42.5,47.5,5,11.8,— ,11.4,"$92,670",Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",25-1040,77.3,90.6,13.3,17.2,0.1,24.9,"$75,650",— ,— ,— 
"Agricultural sciences teachers, postsecondary",25-1041,12.8,13.9,1,8,— ,3,"$80,490",Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",25-1042,61.4,73.4,12,19.5,0.1,21.2,"$74,180",Doctoral or professional degree,None,None
"Forestry and conservation science teachers, postsecondary",25-1043,3.1,3.4,0.3,9.9,— ,0.8,"$81,930",Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",25-1050,62.2,70.4,8.2,13.2,0.1,17.6,"$75,460",— ,— ,— 
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,13.2,14.7,1.5,11.4,— ,3.5,"$82,180",Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",25-1052,25.3,28.8,3.5,13.7,— ,7.3,"$71,140",Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",25-1053,6.3,7.1,0.8,13.2,— ,1.8,"$77,320",Doctoral or professional degree,None,None
"Physics teachers, postsecondary",25-1054,17.4,19.8,2.4,13.8,— ,5,"$78,540",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",25-1060,143.3,163.2,19.9,13.9,0.1,41.5,"$70,580",— ,— ,— 
"Anthropology and archeology teachers, postsecondary",25-1061,7,7.9,0.9,12.5,— ,1.9,"$76,020",Doctoral or professional degree,None,None
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,12.4,14.3,1.9,15.8,— ,3.8,"$67,360",Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,16.8,19.2,2.4,14.2,— ,4.9,"$87,950",Doctoral or professional degree,None,None
"Geography teachers, postsecondary",25-1064,5.5,6.1,0.6,10.6,— ,1.4,"$67,820",Doctoral or professional degree,None,None
"Political science teachers, postsecondary",25-1065,21.1,24.1,3.1,14.6,— ,6.2,"$72,170",Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",25-1066,47.5,54.2,6.8,14.2,0.1,13.9,"$68,020",Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",25-1067,20.6,23.3,2.6,12.7,— ,5.7,"$66,150",Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",25-1069,12.4,14.1,1.7,13.4,— ,3.5,"$69,890",Doctoral or professional degree,None,None
"Health teachers, postsecondary",25-1070,257.9,350.4,92.6,35.9,0.1,131.3,"$73,920",— ,— ,— 
"Health specialties teachers, postsecondary",25-1071,190,258.6,68.6,36.1,0.1,97.2,"$81,140",Doctoral or professional degree,Less than 5 years,None
"Nursing instructors and teachers, postsecondary",25-1072,67.8,91.8,24,35.4,0.1,34.2,"$64,850",Master's degree,Less than 5 years,None
"Education and library science teachers, postsecondary",25-1080,84.9,97.1,12.2,14.4,0.1,25,"$59,810",— ,— ,— 
"Education teachers, postsecondary",25-1081,79.3,90.9,11.6,14.6,0.1,23.5,"$59,350",Doctoral or professional degree,None,None
"Library science teachers, postsecondary",25-1082,5.5,6.1,0.6,10.8,— ,1.4,"$65,780",Doctoral or professional degree,None,None
"Law, criminal justice, and social work teachers, postsecondary",25-1110,48.7,56,7.3,14.9,0.1,14.6,"$68,550",— ,— ,— 
"Criminal justice and law enforcement teachers, postsecondary",25-1111,16.4,18.5,2.1,13.1,— ,4.6,"$58,040",Doctoral or professional degree,None,None
"Law teachers, postsecondary",25-1112,20,23.5,3.5,17.6,— ,6.5,"$99,950",Doctoral or professional degree,None,None
"Social work teachers, postsecondary",25-1113,12.4,14,1.6,13.1,— ,3.5,"$63,250",Doctoral or professional degree,None,None
"Arts, communications, and humanities teachers, postsecondary",25-1120,333.3,382.2,48.9,14.7,0.1,99,"$61,710",— ,— ,— 
"Art, drama, and music teachers, postsecondary",25-1121,114.3,132.6,18.3,16,0.1,35.5,"$62,160",Master's degree,None,None
"Communications teachers, postsecondary",25-1122,36.5,41.2,4.7,12.7,— ,10.1,"$62,180",Doctoral or professional degree,None,None
"English language and literature teachers, postsecondary",25-1123,86.8,97.4,10.6,12.2,0.1,23.6,"$60,040",Doctoral or professional degree,None,None
"Foreign language and literature teachers, postsecondary",25-1124,35.8,41.2,5.5,15.3,0.1,10.8,"$58,670",Doctoral or professional degree,None,None
"History teachers, postsecondary",25-1125,29.2,33.1,4,13.6,— ,8.3,"$65,870",Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,30.8,36.7,6,19.3,0.2,10.6,"$64,990",Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,25-1190,563.2,630.3,67.1,11.9,0.1,151.7,"$47,640",— ,— ,— 
Graduate teaching assistants,25-1191,150.3,165.8,15.5,10.3,0.1,38,"$31,270",Bachelor's degree,None,None
"Home economics teachers, postsecondary",25-1192,5.6,6.2,0.5,9.6,— ,1.4,"$64,040",Master's degree,None,None
"Recreation and fitness studies teachers, postsecondary",25-1193,23,25.8,2.8,12.2,— ,6.3,"$57,920",Doctoral or professional degree,None,None
"Vocational education teachers, postsecondary",25-1194,136.2,152.3,16.1,11.8,0.2,36.6,"$47,990",Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",25-1199,248,280.2,32.2,13,0.1,69.5,"$64,290",Doctoral or professional degree,None,None
"Preschool, primary, secondary, and special education school teachers",25-2000,4115.3,4544.7,429.4,10.4,0.3,1401.2,"$52,240",— ,— ,— 
Preschool and kindergarten teachers,25-2010,596.7,693.7,96.9,16.2,1.5,264.5,"$33,040",— ,— ,— 
"Preschool teachers, except special education",25-2011,438.2,514.6,76.4,17.4,1.9,199.4,"$27,130",Associate's degree,None,None
"Kindergarten teachers, except special education",25-2012,158.5,179.1,20.6,13,0.4,65.1,"$50,120",Bachelor's degree,None,Internship/residency
Elementary and middle school teachers,25-2020,1993.8,2238.6,244.8,12.3,— ,683.5,"$53,420",— ,— ,— 
"Elementary school teachers, except special education",25-2021,1361.2,1529.1,167.9,12.3,— ,467.4,"$53,400",Bachelor's degree,None,Internship/residency
"Middle school teachers, except special and career/technical education",25-2022,614.4,690.4,76,12.4,— ,211.2,"$53,430",Bachelor's degree,None,Internship/residency
"Career/technical education teachers, middle school",25-2023,18.2,19.1,0.9,5.2,— ,4.9,"$54,220",Bachelor's degree,Less than 5 years,Internship/residency
Secondary school teachers,25-2030,1041.3,1098.4,57.2,5.5,— ,340.1,"$55,060",— ,— ,— 
"Secondary school teachers, except special and career/technical education",25-2031,955.8,1008.7,52.9,5.5,— ,312.6,"$55,050",Bachelor's degree,None,Internship/residency
"Career/technical education teachers, secondary school",25-2032,85.4,89.7,4.3,5,— ,27.5,"$55,160",Bachelor's degree,Less than 5 years,Internship/residency
Special education teachers,25-2050,483.5,514,30.5,6.3,0.4,113,"$54,880",— ,— ,— 
"Special education teachers, preschool",25-2051,22.3,25.9,3.6,16.2,1.5,7.4,"$52,480",Bachelor's degree,None,Internship/residency
"Special education teachers, kindergarten and elementary school",25-2052,194.6,206.6,12,6.2,0.3,45.2,"$53,820",Bachelor's degree,None,Internship/residency
"Special education teachers, middle school",25-2053,94.6,99.5,4.9,5.2,0.2,21.1,"$55,780",Bachelor's degree,None,Internship/residency
"Special education teachers, secondary school",25-2054,131.3,137.4,6.1,4.6,0.3,28.5,"$56,830",Bachelor's degree,None,Internship/residency
"Special education teachers, all other",25-2059,40.7,44.6,3.9,9.5,0.9,10.8,"$51,980",Bachelor's degree,None,Internship/residency
Other teachers and instructors,25-3000,1375.3,1501.8,126.6,9.2,11.2,361.3,"$30,100",— ,— ,— 
Adult basic and secondary education and literacy teachers and instructors,25-3011,77.4,84.2,6.7,8.7,9.6,19.9,"$48,590",Bachelor's degree,None,Internship/residency
Self-enrichment education teachers,25-3021,316.2,360.1,43.9,13.9,20.4,97.9,"$35,320",High school diploma or equivalent,Less than 5 years,None
"Teachers and instructors, all other",25-3099,981.6,1057.5,75.9,7.7,8.4,243.5,"$28,540",Bachelor's degree,None,Internship/residency
"Librarians, curators, and archivists",25-4000,283.9,307.1,23.3,8.2,0.3,120.5,"$44,320",— ,— ,— 
"Archivists, curators, and museum technicians",25-4010,29.3,32.6,3.3,11.4,3.3,9.7,"$44,410",— ,— ,— 
Archivists,25-4011,6.5,7.6,1.1,16.6,3.3,2.5,"$47,340",Master's degree,None,None
Curators,25-4012,11.4,12.9,1.4,12.5,3.7,3.9,"$49,590",Master's degree,None,None
Museum technicians and conservators,25-4013,11.3,12.1,0.8,7.1,3,3.3,"$38,220",Bachelor's degree,None,None
Librarians,25-4021,148.4,159.4,11,7.4,— ,44.4,"$55,370",Master's degree,None,None
Library technicians,25-4031,106.2,115.2,9,8.4,— ,66.3,"$30,660",Postsecondary non-degree award,None,None
"Other education, training, and library occupations",25-9000,1510.5,1643.5,133,8.8,0.7,435.2,"$25,480",— ,— ,— 
Audio-visual and multimedia collections specialists,25-9011,9.7,9.6,-0.1,-0.8,3.1,0.8,"$43,350",Bachelor's degree,Less than 5 years,None
Farm and home management advisors,25-9021,13.7,15,1.3,9.7,2.4,2.5,"$46,760",Master's degree,None,None
Instructional coordinators,25-9031,147.7,166.2,18.5,12.5,4.2,31.1,"$60,050",Master's degree,5 years or more,None
Teacher assistants,25-9041,1223.4,1328.5,105,8.6,0,382.6,"$23,640","Some college, no degree",None,None
"Education, training, and library workers, all other",25-9099,116,124.2,8.2,7.1,3.2,18.1,"$36,610",Bachelor's degree,None,None
"Arts, design, entertainment, sports, and media occupations",27-0000,2570.9,2751.6,180.6,7,25.8,799.5,"$43,930",— ,— ,— 
Art and design workers,27-1000,753.7,793.4,39.8,5.3,32.9,239.7,"$42,250",— ,— ,— 
Artists and related workers,27-1010,195.1,203,7.8,4,55.8,54.3,"$63,320",— ,— ,— 
Art directors,27-1011,74.8,77,2.2,3,57.2,20,"$80,880",Bachelor's degree,5 years or more,None
Craft artists,27-1012,11.2,11.6,0.4,3.3,57.8,3,"$29,600",High school diploma or equivalent,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators",27-1013,28.8,29.9,1.1,3.8,56.6,7.9,"$44,850",High school diploma or equivalent,None,Long-term on-the-job training
Multimedia artists and animators,27-1014,68.9,73.2,4.3,6.3,56.9,20.6,"$61,370",Bachelor's degree,None,Moderate-term on-the-job training
"Artists and related workers, all other",27-1019,11.4,11.2,-0.2,-1.5,36.4,2.7,"$59,840",High school diploma or equivalent,None,Long-term on-the-job training
Designers,27-1020,558.5,590.5,31.9,5.7,25,185.4,"$39,050",— ,— ,— 
Commercial and industrial designers,27-1021,39.2,40.9,1.7,4.4,25.3,12.1,"$59,610",Bachelor's degree,None,None
Fashion designers,27-1022,22.3,21.7,-0.7,-3,25.3,5.9,"$62,860",Bachelor's degree,None,None
Floral designers,27-1023,62.4,57.3,-5,-8,26,16.5,"$23,810",High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,27-1024,259.5,276.9,17.4,6.7,24.4,86,"$44,150",Bachelor's degree,None,None
Interior designers,27-1025,54.9,61.9,7,12.8,25.2,21.5,"$47,600",Bachelor's degree,None,None
Merchandise displayers and window trimmers,27-1026,98.7,108.7,10,10.1,25.6,36.1,"$26,410",High school diploma or equivalent,None,Moderate-term on-the-job training
Set and exhibit designers,27-1027,11.4,12.1,0.7,6.3,23.4,3.7,"$50,300",Bachelor's degree,None,None
"Designers, all other",27-1029,10.2,11,0.8,8,24.8,3.5,"$45,330",Bachelor's degree,None,None
"Entertainers and performers, sports and related workers",27-2000,766.9,830,63,8.2,20.9,283.6,"$38,530",— ,— ,— 
"Actors, producers, and directors",27-2010,183.2,189.4,6.2,3.4,13.6,66.8,"$60,080",— ,— ,— 
Actors,27-2011,79.8,83,3.3,4.1,11.6,28.9,— ,"Some college, no degree",None,Long-term on-the-job training
Producers and directors,27-2012,103.5,106.4,2.9,2.8,15.2,37.9,"$71,350",Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,276.3,314.8,38.5,13.9,10.9,120.4,"$28,580",— ,— ,— 
Athletes and sports competitors,27-2021,14.9,15.9,1,6.7,16,5.4,"$40,060",High school diploma or equivalent,None,Long-term on-the-job training
Coaches and scouts,27-2022,243.9,280.1,36.2,14.8,10.8,108.5,"$28,360",Bachelor's degree,None,None
"Umpires, referees, and other sports officials",27-2023,17.5,18.8,1.3,7.7,8.6,6.5,"$23,290",High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,25.8,29.2,3.4,13.2,28.6,10.8,"$33,010",— ,— ,— 
Dancers,27-2031,15.6,16.5,0.9,5.9,28.9,5.4,— ,High school diploma or equivalent,None,Long-term on-the-job training
Choreographers,27-2032,10.2,12.7,2.5,24.3,28.2,5.4,"$38,120",High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,245,257.3,12.2,5,31.7,78.3,— ,— ,— ,— 
Music directors and composers,27-2041,77.6,81.1,3.5,4.5,22.6,24.4,"$47,350",Bachelor's degree,Less than 5 years,None
Musicians and singers,27-2042,167.4,176.2,8.7,5.2,36,53.9,— ,High school diploma or equivalent,None,Long-term on-the-job training
"Entertainers and performers, sports and related workers, all other",27-2099,36.6,39.2,2.7,7.3,54,7.2,— ,High school diploma or equivalent,None,None
Media and communication workers,27-3000,726.9,787.1,60.2,8.3,20.2,216.2,"$50,930",— ,— ,— 
Announcers,27-3010,52,52.7,0.8,1.5,24.5,11.6,"$27,750",— ,— ,— 
Radio and television announcers,27-3011,41.3,41.2,0,-0.1,24.4,8.6,"$28,020",Bachelor's degree,None,None
Public address system and other announcers,27-3012,10.7,11.5,0.8,7.6,24.6,3,"$26,230",High school diploma or equivalent,None,Short-term on-the-job training
"News analysts, reporters and correspondents",27-3020,57.6,50.4,-7.2,-12.6,13.1,19.6,"$37,090",— ,— ,— 
Broadcast news analysts,27-3021,5.9,5.8,-0.1,-2.3,12.9,2,"$55,380",Bachelor's degree,None,None
Reporters and correspondents,27-3022,51.7,44.6,-7.1,-13.8,13.1,17.6,"$35,870",Bachelor's degree,None,None
Public relations specialists,27-3031,229.1,256.5,27.4,12,4.2,58.8,"$54,170",Bachelor's degree,None,None
Writers and editors,27-3040,293.9,302.3,8.4,2.9,33.1,82.4,"$57,460",— ,— ,— 
Editors,27-3041,115.3,112.5,-2.8,-2.4,10.2,28,"$53,880",Bachelor's degree,Less than 5 years,None
Technical writers,27-3042,49.5,56.9,7.4,14.8,4.9,22.6,"$65,500",Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,129.1,132.9,3.8,3,64.4,31.8,"$55,940",Bachelor's degree,None,Moderate-term on-the-job training
Miscellaneous media and communication workers,27-3090,94.3,125.2,30.8,32.7,20.7,43.8,"$45,350",— ,— ,— 
Interpreters and translators,27-3091,63.6,92.9,29.3,46.1,18.9,38.1,"$45,430",Bachelor's degree,None,Short-term on-the-job training
"Media and communication workers, all other",27-3099,30.7,32.3,1.5,4.9,24.4,5.7,"$45,160",High school diploma or equivalent,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,323.4,341,17.6,5.4,33.4,60,"$39,450",— ,— ,— 
Broadcast and sound engineering technicians and radio operators,27-4010,122.8,133.4,10.6,8.6,12.5,32.8,"$41,210",— ,— ,— 
Audio and video equipment technicians,27-4011,67.7,76.9,9.3,13.7,12,21.5,"$41,850",Postsecondary non-degree award,None,Short-term on-the-job training
Broadcast technicians,27-4012,36.7,37.9,1.2,3.2,13.1,7.8,"$37,880",Associate's degree,None,Short-term on-the-job training
Radio operators,27-4013,1.4,1.4,0,1.2,6.4,0.3,"$42,080",High school diploma or equivalent,None,Short-term on-the-job training
Sound engineering technicians,27-4014,17,17.1,0.1,0.7,13.7,3.2,"$46,310",Postsecondary non-degree award,None,Short-term on-the-job training
Photographers,27-4021,136.3,142.2,5.9,4.3,59.8,20.3,"$28,490",High school diploma or equivalent,None,Long-term on-the-job training
"Television, video, and motion picture camera operators and editors",27-4030,49.5,50.9,1.4,2.8,22.9,5.2,"$46,280",— ,— ,— 
"Camera operators, television, video, and motion picture",27-4031,21.4,22.6,1.2,5.5,22.2,2.8,"$40,300",Bachelor's degree,None,None
Film and video editors,27-4032,28.1,28.3,0.2,0.6,23.5,2.3,"$51,300",Bachelor's degree,None,None
"Media and communication equipment workers, all other",27-4099,14.8,14.6,-0.2,-1.5,— ,1.9,"$68,810",High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,8049.7,9782.6,1732.9,21.5,3.1,3378.3,"$60,200",— ,— ,— 
Health diagnosing and treating practitioners,29-1000,5004.8,6020.1,1015.3,20.3,4.6,2042.2,"$73,410",— ,— ,— 
Chiropractors,29-1011,44.4,50.9,6.5,14.6,37.1,15.2,"$66,160",Doctoral or professional degree,None,None
Dentists,29-1020,146.8,170.2,23.3,15.9,24.6,59.1,"$149,310",— ,— ,— 
"Dentists, general",29-1021,125.8,146.4,20.6,16.3,25,51.2,"$145,240",Doctoral or professional degree,None,None
Oral and maxillofacial surgeons,29-1022,6.7,7.8,1.1,16.1,24.8,2.7,">=$187,200",Doctoral or professional degree,None,Internship/residency
Orthodontists,29-1023,7.5,8.7,1.2,16.3,25.6,3,">=$187,200",Doctoral or professional degree,None,Internship/residency
Prosthodontists,29-1024,0.4,0.5,0.1,15,25.5,0.2,"$169,130",Doctoral or professional degree,None,Internship/residency
"Dentists, all other specialists",29-1029,6.4,6.8,0.4,6.3,16.1,2,"$154,990",Doctoral or professional degree,None,Internship/residency
Dietitians and nutritionists,29-1031,67.4,81.6,14.2,21.1,11.1,22.3,"$55,240",Bachelor's degree,None,Internship/residency
Optometrists,29-1041,33.1,41.2,8.1,24.4,10.8,17.7,"$97,820",Doctoral or professional degree,None,None
Pharmacists,29-1051,286.4,327.8,41.4,14.5,0.9,109.8,"$116,670",Doctoral or professional degree,None,None
Physicians and surgeons,29-1060,691.4,814.7,123.3,17.8,9.4,296.4,">=$187,200",— ,— ,— 
Anesthesiologists,29-1061,33.9,42.1,8.3,24.4,10.4,16.7,">=$187,200",Doctoral or professional degree,None,Internship/residency
Family and general practitioners,29-1062,124,142.1,18.1,14.6,9.9,49.2,"$172,020",Doctoral or professional degree,None,Internship/residency
"Internists, general",29-1063,51.3,58.6,7.3,14.1,10.3,20.1,">=$187,200",Doctoral or professional degree,None,Internship/residency
Obstetricians and gynecologists,29-1064,23.6,27,3.4,14.4,10.4,9.3,">=$187,200",Doctoral or professional degree,None,Internship/residency
"Pediatricians, general",29-1065,34.7,40.1,5.4,15.7,10.2,14.1,"$154,650",Doctoral or professional degree,None,Internship/residency
Psychiatrists,29-1066,27.2,31.6,4.4,16.2,7.6,11.2,"$173,330",Doctoral or professional degree,None,Internship/residency
Surgeons,29-1067,47.9,59,11.1,23.2,10.1,23.1,">=$187,200",Doctoral or professional degree,None,Internship/residency
"Physicians and surgeons, all other",29-1069,348.9,414.2,65.3,18.7,8.9,152.6,">=$187,200",Doctoral or professional degree,None,Internship/residency
Physician assistants,29-1071,86.7,120,33.3,38.4,1.8,48.9,"$90,930",Master's degree,None,None
Podiatrists,29-1081,10.7,13.1,2.4,22.5,13.5,4.6,"$116,440",Doctoral or professional degree,None,Internship/residency
Therapists,29-1120,644.5,816.4,171.8,26.7,6.6,287.2,"$70,000",— ,— ,— 
Occupational therapists,29-1122,113.2,146.1,32.8,29,4.6,48.2,"$75,400",Master's degree,None,None
Physical therapists,29-1123,204.2,277.7,73.5,36,4.4,123.7,"$79,860",Doctoral or professional degree,None,None
Radiation therapists,29-1124,19.1,23.6,4.5,23.5,2.4,8.4,"$77,560",Associate's degree,None,None
Recreational therapists,29-1125,19.8,22.5,2.7,13.4,— ,6.7,"$42,280",Bachelor's degree,None,None
Respiratory therapists,29-1126,119.3,142.1,22.7,19.1,0.1,40.1,"$55,870",Associate's degree,None,None
Speech-language pathologists,29-1127,134.1,160.1,26,19.4,8.8,46.2,"$69,870",Master's degree,None,None
Exercise physiologists,29-1128,6,6.5,0.6,9.2,— ,1.3,"$44,770",Bachelor's degree,None,None
"Therapists, all other",29-1129,28.8,37.9,9.1,31.7,55.6,12.5,"$53,210",Bachelor's degree,None,None
Veterinarians,29-1131,70.3,78.7,8.4,12,18.3,31,"$84,460",Doctoral or professional degree,None,None
Registered nurses,29-1141,2711.5,3238.4,526.8,19.4,0.7,1052.6,"$65,470",Associate's degree,None,None
Nurse anesthetists,29-1151,35.2,43.9,8.8,24.9,1.2,15.6,"$148,160",Master's degree,None,None
Nurse midwives,29-1161,6,7.7,1.7,28.6,— ,2.9,"$89,600",Master's degree,None,None
Nurse practitioners,29-1171,110.2,147.3,37.1,33.7,1.8,58.5,"$89,960",Master's degree,None,None
Audiologists,29-1181,13,17.3,4.3,33.6,5.4,7,"$69,720",Doctoral or professional degree,None,None
"Health diagnosing and treating practitioners, all other",29-1199,47.2,50.9,3.7,7.9,32.2,13.5,"$72,710",Master's degree,None,None
Health technologists and technicians,29-2000,2892.7,3590.2,697.5,24.1,0.8,1274.6,"$40,380",— ,— ,— 
Clinical laboratory technologists and technicians,29-2010,325.8,396.5,70.6,21.7,0.3,156,"$47,820",— ,— ,— 
Medical and clinical laboratory technologists,29-2011,164.3,187.1,22.7,13.8,0.3,65.8,"$57,580",Bachelor's degree,None,None
Medical and clinical laboratory technicians,29-2012,161.5,209.4,47.9,29.7,0.3,90.2,"$37,240",Associate's degree,None,None
Dental hygienists,29-2021,192.8,256.9,64.2,33.3,0.6,113.5,"$70,210",Associate's degree,None,None
Diagnostic related technologists and technicians,29-2030,360.6,456.2,95.6,26.5,1.1,146.4,"$57,850",— ,— ,— 
Cardiovascular technologists and technicians,29-2031,51.6,67.3,15.7,30.4,1.1,23,"$52,070",Associate's degree,None,None
Diagnostic medical sonographers,29-2032,58.8,85.9,27,46,1.1,35.3,"$65,860",Associate's degree,None,None
Nuclear medicine technologists,29-2033,20.9,25.1,4.2,20.2,1.1,7.2,"$70,180",Associate's degree,None,None
Radiologic technologists,29-2034,199.2,240.8,41.5,20.8,1.1,69.6,"$54,620",Associate's degree,None,None
Magnetic resonance imaging technologists,29-2035,30.1,37.2,7.1,23.6,1.1,11.3,"$65,360",Associate's degree,Less than 5 years,None
Emergency medical technicians and paramedics,29-2041,239.1,294.4,55.3,23.1,0.9,120.6,"$31,020",Postsecondary non-degree award,None,None
Health practitioner support technologists and technicians,29-2050,677.8,821.3,143.5,21.2,0.1,210.5,"$31,330",— ,— ,— 
Dietetic technicians,29-2051,25.1,29.6,4.5,18,— ,7,"$26,260",Associate's degree,None,None
Pharmacy technicians,29-2052,355.3,426.1,70.7,19.9,0.1,105.9,"$29,320",High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,71,73.8,2.8,3.9,— ,9.8,"$30,050",Postsecondary non-degree award,None,Short-term on-the-job training
Respiratory therapy technicians,29-2054,13.6,15.9,2.3,16.9,— ,3.6,"$46,760",Associate's degree,None,Moderate-term on-the-job training
Surgical technologists,29-2055,98.5,127.8,29.3,29.8,0.1,39.1,"$41,790",Postsecondary non-degree award,None,None
Veterinary technologists and technicians,29-2056,84.8,109.8,25,29.5,0.1,33.4,"$30,290",Associate's degree,None,None
Ophthalmic medical technicians,29-2057,29.6,38.4,8.8,29.8,— ,11.7,"$34,240",Postsecondary non-degree award,None,None
Licensed practical and licensed vocational nurses,29-2061,738.4,921.3,182.9,24.8,0.7,363.1,"$41,540",Postsecondary non-degree award,None,None
Medical records and health information technicians,29-2071,186.3,227.5,41.1,22.1,0.1,90.4,"$34,160",Postsecondary non-degree award,None,None
"Opticians, dispensing",29-2081,67.6,83.5,15.8,23.4,3.7,35.3,"$33,330",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous health technologists and technicians,29-2090,104.2,132.7,28.5,27.4,4.8,38.8,"$41,950",— ,— ,— 
Orthotists and prosthetists,29-2091,8.5,11.5,3,35.5,4.9,3.8,"$62,670",Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,5.3,6.6,1.3,25.2,5.3,1.9,"$41,430",High school diploma or equivalent,None,None
"Health technologists and technicians, all other",29-2099,90.4,114.6,24.2,26.7,4.8,33.1,"$40,700",High school diploma or equivalent,None,None
Other healthcare practitioners and technical occupations,29-9000,152.2,172.2,20.1,13.2,2.1,61.5,"$54,130",— ,— ,— 
Occupational health and safety specialists and technicians,29-9010,75.5,81.1,5.6,7.4,2,26.1,"$63,200",— ,— ,— 
Occupational health and safety specialists,29-9011,62.9,67.1,4.2,6.6,1.9,21.3,"$66,790",Bachelor's degree,None,Short-term on-the-job training
